Year,Month,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Direction,Wind Speed,Pressure,Dew Point
2018,12,22.249910394265235,57.105510752688176,228.36066308243727,179.01478494623655,76.73979166666666,239.70721326164875,2.9280689964157705,1017.3494623655914,17.887432795698924
2019,1,21.531137992831543,58.61133512544803,264.2029569892473,206.56294802867384,68.68322356630824,240.40389784946237,2.718660394265233,1018.5846774193549,15.359027777777778
2019,2,23.161507936507935,75.72792658730158,246.68204365079364,229.51934523809524,67.7852306547619,262.68874007936506,2.401512896825397,1017.2921626984127,16.571354166666666
2019,3,25.533221326164874,92.85215053763442,226.05510752688173,252.18929211469535,74.94567428315412,265.91733870967744,2.2307123655913976,1015.0159050179211,20.484767025089607
2019,4,28.095277777777778,108.22106481481481,229.90740740740742,281.5756944444444,78.29251388888888,231.9162037037037,2.0257870370370368,1012.3523148148148,23.797916666666666
2019,5,29.52488799283154,123.71281362007169,195.3790322580645,275.3481182795699,84.51029569892474,214.8951612903226,2.263888888888889,1009.9442204301075,26.57643369175627
2019,6,29.25287037037037,123.59675925925926,110.12476851851852,208.39976851851853,88.4915925925926,198.57199074074074,2.612013888888889,1006.6835648148148,27.124560185185185
2019,7,28.543906810035843,115.0344982078853,62.96460573476703,163.61155913978496,90.99888664874553,199.271729390681,3.6896505376344084,1006.7950268817204,26.912163978494622
2019,8,28.279189068100358,121.99372759856631,109.9923835125448,204.77128136200716,90.68689068100359,195.30801971326164,2.9770609318996417,1006.1149193548387,26.592092293906813
2019,9,28.270185185185184,98.42106481481481,130.9710648148148,191.4175925925926,88.94767824074073,197.0537037037037,2.592337962962963,1011.0217592592593,26.252708333333334
2019,10,27.90972222222222,70.0918458781362,218.92876344086022,210.96214157706092,85.11707213261649,240.6122311827957,1.7572580645161289,1014.0954301075269,25.153561827956988
2019,11,25.964166666666667,51.444907407407406,263.79583333333335,202.8050925925926,81.55280787037037,207.79953703703703,2.4410416666666666,1015.2782407407408,22.509907407407407
2019,12,21.858086917562723,56.28225806451613,252.1198476702509,193.38844086021504,77.5280017921147,212.24417562724014,2.681810035842294,1018.4874551971326,17.666353046594985
2020,1,20.594690860215053,67.05801971326164,205.4350358422939,183.29390681003585,78.83034946236559,236.42405913978496,2.8129480286738353,1018.0967741935484,16.674663978494625
2020,2,21.635632183908044,80.86733716475096,235.75646551724137,230.07638888888889,71.15543582375479,260.1580459770115,2.665948275862069,1018.3541666666666,15.97626915708812
2020,3,25.75385304659498,89.80398745519713,249.14852150537635,263.8564068100358,72.86,300.0282258064516,2.2497983870967744,1014.6046146953405,20.241644265232974
2020,4,27.964768518518518,103.91018518518518,226.8664351851852,273.6400462962963,76.86895138888889,235.9962962962963,1.7125,1013.7372685185185,23.37641203703704
2020,5,28.80472670250896,113.15053763440861,198.50851254480287,261.236335125448,83.94319892473118,222.8125,2.3163754480286736,1010.2822580645161,25.762724014336918
2020,6,29.026851851851852,119.7912037037037,88.73819444444445,188.5025462962963,88.00084953703703,202.5699074074074,2.774236111111111,1007.9173611111111,26.812824074074072
2020,7,28.814717741935482,119.1747311827957,87.35371863799283,188.0573476702509,89.26449372759856,207.68167562724014,3.0839605734767024,1008.1039426523297,26.850448028673835
2020,8,28.47002688172043,112.605958781362,80.10304659498208,172.21012544802866,90.64725806451612,197.997311827957,3.4938620071684587,1006.1299283154121,26.777374551971324
2020,9,28.83261574074074,108.35324074074074,134.79328703703703,205.7125,88.73956018518518,204.5662037037037,2.4991203703703704,1009.0104166666666,26.768564814814813
2020,10,28.55486111111111,74.78024193548387,184.86559139784947,193.6951164874552,88.05743279569893,199.4363799283154,2.2373879928315414,1010.3340053763441,26.36429211469534
2020,11,25.956203703703704,47.86944444444445,248.98055555555555,189.09722222222223,81.61776851851852,192.60787037037036,2.232476851851852,1016.3108796296297,22.50819444444444
2020,12,21.906160394265235,57.95564516129032,254.046146953405,196.28337813620072,78.24547267025089,236.34901433691758,2.6866487455197134,1016.8855286738351,17.874283154121866
